"date","daten","pack","indiv","sex","agecategory","status","stend","code","exact","lseen","cause","litter"
2014-10-15,41927,"1H","HF294","F","PUP","DEP","START","BORN","Y","","","H1404"
2015-05-04,42128,"1B","BP684A","P","PUP","DEP","START","BORN","N","02/05/2015","","B1502"
2015-01-15,42019,"1H","HF299","F","PUP","DEP","END","ADIED","N","08/01/2015","APRED","H1404"
2015-02-13,42048,"7A","GF092","F","AD","MULTI","","FPREG","Y","","","G1501"
2000-10-09,36808,"1I","","","","","","ENDGRP","N","","",""
2014-04-09,41738,"4B","FF166","F","AD","MULTI","","BIRTH","Y","","","F1402"
2014-05-15,41774,"19","XF004","F","AD","MULTI","","FPREG","Y","","","X1402"
2014-12-04,41977,"2","TM392","M","PUP","DEP","END","ADIED","N","27/11/2014","APRED","T1405"
2014-09-05,41887,"2","TF298","F","AD","MULTI","","FPREG","Y","","","T1405"
2014-10-15,41927,"1H","HM293","M","PUP","DEP","START","BORN","Y","","","H1404"
2004-12-14,38335,"7A","GM026","M","PUP","","START","BORN","N","11/12/2004","","G0404"
2004-12-14,38335,"7A","GF025","F","PUP","","START","BORN","N","11/12/2004","","G0404"
2004-03-14,38060,"1B","BF100","F","AD","PREG","","STEV","Y","","",""
2004-03-14,38060,"1B","BF121","F","AD","PREG","","STEV","Y","","",""
2004-03-10,38056,"7A","GM013","M","AD","","START","FSEEN","N","","",""
2007-01-08,39090,"7A","G0701","","","","","BORN","N","05/01/2007","","G0701"
2000-02-01,36557,"9","5J","F","","","END","LSEEN","N","","",""
2000-02-01,36557,"9","5K","F","","","END","LSEEN","N","","",""
2000-02-01,36557,"9","6T","M","","","END","LSEEN","N","","",""
2000-02-01,36557,"9","6V","M","","","END","LSEEN","N","","",""
2014-05-17,41776,"1H","HF242","F","AD","MULTI","","FPREG","Y","","","H1402"
1998-04-28,35913,"2","8J","F","","","END","ADIED","N","22/04/1998","",""
1998-04-28,35913,"1B","9G","F","","","END","ADIED","N","25/04/1998","",""
1998-04-28,35913,"2","59","F","","","","BIRTH","Y","","","T04"
1998-04-29,35914,"2","45","F","","","","BIRTH","Y","","","T04"
1998-04-30,35915,"5","G3","M","","","END","ADIED","Y","","","5-02"
1999-10-03,36436,"1B","AP","M","","","START","BORN","Y","","","B10"
1999-10-03,36436,"1B","AQ","F","","","START","BORN","Y","","","B10"
1999-10-03,36436,"1B","AR","F","","","START","BORN","Y","","","B10"
2009-11-08,40125,"7A","","","","","","EOES","Y","","","ESG0903"
2009-02-28,39872,"1B","BF215","F","AD","MULTI","","FPREG","Y","","","B0902A"
2005-10-04,38629,"1N","TMUNMK","M","AD","","","APPROACH","Y","","2",""
2005-10-04,38629,"1N","BF134","F","AD","","","SOES","Y","","","ESN0505"
1999-12-14,36508,"1B","BV","M","","","START","BORN","Y","","","B11"
2009-11-06,40123,"11","DP163A","P","PUP","DEP","END","ADIED","N","05/11/2009","APRED","D0904"
2009-11-05,40122,"17","S0902","","","","","EMERGE","Y","","","S0902"
2005-10-07,38632,"1B","BM280","M","PUP","","END","DIED","Y","","ICIDE","B0505"
2005-10-07,38632,"1B","BP281","P","PUP","","END","DIED","Y","","ICIDE","B0505"
2005-10-07,38632,"1B","BP281","P","PUP","","START","BORN","Y","","","B0505"
2005-07-16,38549,"7A","GM010","M","AD","","END","DIED","Y","","SICK",""
2005-07-18,38551,"7A","GF002","F","AD","","","BIRTH","Y","","","G0502"
2005-07-18,38551,"7A","GF007","F","AD","","","BIRTH","Y","","","G0502"
2005-07-18,38551,"7A","GF009","F","AD","","","BIRTH","Y","","","G0502"
2004-06-08,38146,"1B","BM235","M","","","START","BORN","Y","","","B0403"
2006-01-17,38734,"4B","FM120","M","","","","EMERGE","Y","","","F0504"
2000-10-07,36806,"1C","CP006","P","","","START","BORN","Y","","","C0004"
2000-10-07,36806,"1C","CP007","P","","","START","BORN","Y","","","C0004"
2000-10-07,36806,"1C","CP005","P","PUP","","END","DIED","Y","","UNK","C0004"
2002-10-05,37534,"1K","T7","F","AD","","RESTART","IMM","N","","",""
2003-07-09,37811,"1B","BP180","P","","","START","BORN","N","07/07/2003","","B0303"
1999-05-14,36294,"1B","C8","F","","","","BIRTH","Y","","","B08"
2005-08-24,38588,"1N","","","","","","SOES","Y","","","ESN0504"
